index,season,episode,episode_num,snatch_game_episode,ru_rank,missc,queen,challenge_outcome,eliminated,participant,minichalw,finale,penultimate
90,S02,3,S02E3,0,3,0,Jujubee,SAFE,0,1,0,0,0
91,S02,3,S02E3,0,4,0,Tatianna,SAFE,0,1,0,0,0
92,S02,3,S02E3,0,5,1,Pandora Boxx,HIGH,0,1,0,0,0
93,S02,3,S02E3,0,6,0,Jessica Wild,HIGH,0,1,0,0,0
94,S02,3,S02E3,0,7,0,Sahara Davenport,SAFE,0,1,0,0,0
95,S02,3,S02E3,0,8,0,Morgan McMichaels,SAFE,0,1,0,0,0
96,S02,3,S02E3,0,9,0,Sonique,SAFE,0,1,0,0,0
97,S02,3,S02E3,0,10,0,Mystique Summers Madison,BTM,0,1,0,0,0
100,S02,4,S02E4,1,1,0,Tyra Sanchez,SG SAFE,0,1,0,0,0
101,S02,4,S02E4,1,2,0,Raven,SG SAFE,0,1,1,0,0
102,S02,4,S02E4,1,3,0,Jujubee,SG LOW,0,1,0,0,0
103,S02,4,S02E4,1,4,0,Tatianna,SG WIN,0,1,0,0,0
104,S02,4,S02E4,1,5,1,Pandora Boxx,SG HIGH,0,1,0,0,0
105,S02,4,S02E4,1,6,0,Jessica Wild,SG SAFE,0,1,0,0,0
106,S02,4,S02E4,1,7,0,Sahara Davenport,SG SAFE,0,1,0,0,0
107,S02,4,S02E4,1,8,0,Morgan McMichaels,SG BTM,0,1,0,0,0
108,S02,4,S02E4,1,9,0,Sonique,SG ELIM,1,1,0,0,0
112,S02,5,S02E5,0,1,0,Tyra Sanchez,WIN,0,1,0,0,0
113,S02,5,S02E5,0,2,0,Raven,HIGH,0,1,1,0,0
114,S02,5,S02E5,0,3,0,Jujubee,HIGH,0,1,0,0,0
115,S02,5,S02E5,0,4,0,Tatianna,LOW,0,1,0,0,0
116,S02,5,S02E5,0,5,1,Pandora Boxx,SAFE,0,1,0,0,0
117,S02,5,S02E5,0,6,0,Jessica Wild,HIGH,0,1,0,0,0
118,S02,5,S02E5,0,7,0,Sahara Davenport,BTM,0,1,0,0,0
119,S02,5,S02E5,0,8,0,Morgan McMichaels,ELIM,1,1,0,0,0
124,S02,6,S02E6,0,1,0,Tyra Sanchez,LOW,0,1,0,0,0
125,S02,6,S02E6,0,2,0,Raven,HIGH,0,1,0,0,0
126,S02,6,S02E6,0,3,0,Jujubee,BTM,0,1,0,0,0
127,S02,6,S02E6,0,4,0,Tatianna,SAFE,0,1,0,0,0
