index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
72,S02,1,S02E1,9,0,Sonique,SAFE,0,1,0,0,0
73,S02,1,S02E1,10,0,Mystique Summers Madison,LOW,0,1,0,0,0
74,S02,1,S02E1,11,0,Nicole Paige Brooks,SAFE,0,1,0,0,0
75,S02,1,S02E1,12,0,Shangela,BTM,1,1,0,0,0
76,S02,2,S02E2,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
77,S02,2,S02E2,2,0,Raven,BTM,0,1,0,0,0
78,S02,2,S02E2,3,0,Jujubee,SAFE,0,1,0,0,0
79,S02,2,S02E2,4,0,Tatianna,SAFE,0,1,0,0,0
80,S02,2,S02E2,5,1,Pandora Boxx,SAFE,0,1,0,0,0
81,S02,2,S02E2,6,0,Jessica Wild,SAFE,0,1,0,0,0
82,S02,2,S02E2,7,0,Sahara Davenport,WIN,0,1,0,0,0
83,S02,2,S02E2,8,0,Morgan McMichaels,SAFE,0,1,0,0,0
84,S02,2,S02E2,9,0,Sonique,LOW,0,1,0,0,0
85,S02,2,S02E2,10,0,Mystique Summers Madison,SAFE,0,1,0,0,0
86,S02,2,S02E2,11,0,Nicole Paige Brooks,BTM,1,1,0,0,0
87,S02,2,S02E2,12,0,Shangela,NA,NA,0,NA,0,0
88,S02,3,S02E3,1,0,Tyra Sanchez,WIN,0,1,0,0,0
89,S02,3,S02E3,2,0,Raven,BTM,0,1,0,0,0
90,S02,3,S02E3,3,0,Jujubee,SAFE,0,1,0,0,0
91,S02,3,S02E3,4,0,Tatianna,SAFE,0,1,0,0,0
92,S02,3,S02E3,5,1,Pandora Boxx,HIGH,0,1,0,0,0
93,S02,3,S02E3,6,0,Jessica Wild,HIGH,0,1,0,0,0
94,S02,3,S02E3,7,0,Sahara Davenport,SAFE,0,1,0,0,0
95,S02,3,S02E3,8,0,Morgan McMichaels,SAFE,0,1,0,0,0
96,S02,3,S02E3,9,0,Sonique,SAFE,0,1,0,0,0
97,S02,3,S02E3,10,0,Mystique Summers Madison,BTM,0,1,0,0,0
98,S02,3,S02E3,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
99,S02,3,S02E3,12,0,Shangela,NA,NA,0,NA,0,0
100,S02,4,S02E4,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
101,S02,4,S02E4,2,0,Raven,SAFE,0,1,1,0,0
102,S02,4,S02E4,3,0,Jujubee,LOW,0,1,0,0,0
103,S02,4,S02E4,4,0,Tatianna,WIN,0,1,0,0,0
104,S02,4,S02E4,5,1,Pandora Boxx,HIGH,0,1,0,0,0
105,S02,4,S02E4,6,0,Jessica Wild,SAFE,0,1,0,0,0
106,S02,4,S02E4,7,0,Sahara Davenport,SAFE,0,1,0,0,0
107,S02,4,S02E4,8,0,Morgan McMichaels,BTM,0,1,0,0,0
108,S02,4,S02E4,9,0,Sonique,BTM,1,1,0,0,0
109,S02,4,S02E4,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
110,S02,4,S02E4,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
111,S02,4,S02E4,12,0,Shangela,NA,NA,0,NA,0,0
112,S02,5,S02E5,1,0,Tyra Sanchez,WIN,0,1,0,0,0
113,S02,5,S02E5,2,0,Raven,HIGH,0,1,1,0,0
114,S02,5,S02E5,3,0,Jujubee,HIGH,0,1,0,0,0
115,S02,5,S02E5,4,0,Tatianna,LOW,0,1,0,0,0
116,S02,5,S02E5,5,1,Pandora Boxx,SAFE,0,1,0,0,0
117,S02,5,S02E5,6,0,Jessica Wild,HIGH,0,1,0,0,0
118,S02,5,S02E5,7,0,Sahara Davenport,BTM,0,1,0,0,0
119,S02,5,S02E5,8,0,Morgan McMichaels,BTM,1,1,0,0,0
120,S02,5,S02E5,9,0,Sonique,NA,NA,0,NA,0,0
121,S02,5,S02E5,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
122,S02,5,S02E5,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
123,S02,5,S02E5,12,0,Shangela,NA,NA,0,NA,0,0
124,S02,6,S02E6,1,0,Tyra Sanchez,LOW,0,1,0,0,0
125,S02,6,S02E6,2,0,Raven,HIGH,0,1,0,0,0
126,S02,6,S02E6,3,0,Jujubee,BTM,0,1,0,0,0
127,S02,6,S02E6,4,0,Tatianna,SAFE,0,1,0,0,0
128,S02,6,S02E6,5,1,Pandora Boxx,HIGH,0,1,1,0,0
129,S02,6,S02E6,6,0,Jessica Wild,WIN,0,1,0,0,0
130,S02,6,S02E6,7,0,Sahara Davenport,BTM,1,1,0,0,0
131,S02,6,S02E6,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
132,S02,6,S02E6,9,0,Sonique,NA,NA,0,NA,0,0
133,S02,6,S02E6,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
134,S02,6,S02E6,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
135,S02,6,S02E6,12,0,Shangela,NA,NA,0,NA,0,0
136,S02,7,S02E7,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
137,S02,7,S02E7,2,0,Raven,WIN,0,1,0,0,0
138,S02,7,S02E7,3,0,Jujubee,HIGH,0,1,1,0,0
139,S02,7,S02E7,4,0,Tatianna,BTM,0,1,0,0,0
140,S02,7,S02E7,5,1,Pandora Boxx,LOW,0,1,0,0,0
141,S02,7,S02E7,6,0,Jessica Wild,BTM,1,1,0,0,0
142,S02,7,S02E7,7,0,Sahara Davenport,NA,NA,0,NA,0,0
143,S02,7,S02E7,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
144,S02,7,S02E7,9,0,Sonique,NA,NA,0,NA,0,0
145,S02,7,S02E7,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
146,S02,7,S02E7,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
147,S02,7,S02E7,12,0,Shangela,NA,NA,0,NA,0,0
148,S02,8,S02E8,1,0,Tyra Sanchez,HIGH,0,1,0,0,0
149,S02,8,S02E8,2,0,Raven,WIN,0,1,0,0,0
150,S02,8,S02E8,3,0,Jujubee,BTM,0,1,0,0,0
151,S02,8,S02E8,4,0,Tatianna,HIGH,0,1,1,0,0
152,S02,8,S02E8,5,1,Pandora Boxx,BTM,1,1,0,0,0
153,S02,8,S02E8,6,0,Jessica Wild,NA,NA,0,NA,0,0
154,S02,8,S02E8,7,0,Sahara Davenport,NA,NA,0,NA,0,0
155,S02,8,S02E8,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
156,S02,8,S02E8,9,0,Sonique,NA,NA,0,NA,0,0
157,S02,8,S02E8,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
158,S02,8,S02E8,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
159,S02,8,S02E8,12,0,Shangela,NA,NA,0,NA,0,0
160,S02,9,S02E9,1,0,Tyra Sanchez,WIN,0,1,1,0,0
161,S02,9,S02E9,2,0,Raven,HIGH,0,1,0,0,0
162,S02,9,S02E9,3,0,Jujubee,BTM,0,1,0,0,0
163,S02,9,S02E9,4,0,Tatianna,BTM,1,1,0,0,0
164,S02,9,S02E9,5,1,Pandora Boxx,NA,NA,0,NA,0,0
165,S02,9,S02E9,6,0,Jessica Wild,NA,NA,0,NA,0,0
166,S02,9,S02E9,7,0,Sahara Davenport,NA,NA,0,NA,0,0
167,S02,9,S02E9,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
